Grupo,Nombre del producto,Tipo,Tutor(es)/Cotutor(es),Institución,Estudiante orientado,Programa académico,Tipo de orientación,DOI,Año,Valoración,Número de Páginas,Palabras,Area,Sectores 
NATURATU,"DETERMINACIÓN DE LOS PARÁMETROS DE CALIDAD DEL AGUA PROVENIENTE DEL RÍO CHIPALO, PARA MEDIR EL GRADO DE CONTAMINACIÓN EN SU PASO POR LA CIUDAD DE IBAGUÉ.", Trabajos de grado de pregrado , MARCIAL ANTONIO FUENTES ESTRADA, UNIVERSIDAD DE IBAGUÉ,NIKY SANTIAGO HERNANDEZ Y MARIA FERNANDA OVIEDO, ADMINISTRACIÓN AMBIENTAL, Tutor principal,,, , 0,,,
NATURATU,"""ESTUDIO CINÉTICO DE LA REACCIÓN DE AMINÓLISIS DE 4- NITROFENIL 4-CIANOFENIL TIONOCARBONATO. EFECTO DEL MEDIO DE REACCIÓN""", Trabajos dirigidos/Tutorías de otro tipo , MARGARITA ELLY ALIAGA MIRANDA, Pontificia Universidad Católica De Chile,Patricio Cornejo, Química, Coturor/asesor,,nero , , 0,,,
NATURATU,"""ESTUDIO CINÉTICO DE LA REACCIÓN DE HIDRÓLISIS Y AMINÓLISIS DE COMPUESTOS CARBONÍLICOS EN SISTEMAS MACROCÍCLICOS""", Trabajos dirigidos/Tutorías de otro tipo , MARGARITA ELLY ALIAGA MIRANDA, Pontificia Universidad Católica De Chile,Vanessa Mercado, Química, Coturor/asesor,,nero , , 0,,,
NATURATU,Determinación de la absorción característica de la materia orgánica de la planta de agua de la Universidad de Ibagué., Trabajos de grado de pregrado , LUZ PATRICIA NARANJO RIANO, UNIVERSIDAD DE IBAGUÉ,Juan Pablo Galvis, Ingeniería Industrial, Tutor principal,, 2015, Aprobada, 40,,,
NATURATU,"""SÍNTESIS Y ESTUDIO FOTOFÍSICO DE DERIVADO DE N,NDIETILAMINOCUMARINA. APLICACIÓN COMO SONDA FLUORESCENTE HACIA IONES MERCÚRICOS VIA FORMACIÓN DE SISTEMA COOPERATIVO CON CUCURBIT[7]URIL""", Trabajos dirigidos/Tutorías de otro tipo , MARGARITA ELLY ALIAGA MIRANDA, Pontificia Universidad Católica De Chile,Alejandra Andrea Rodríguez Leyton, Química, Tutor principal,,nero , , 0,,,
NATURATU,"""EVALUACIÓN DE COMPLEJOS DE INCLUSIÓN DE CUMARINAS EN CICLODEXTRINA/CUCURBITURIL COMO ESTRATEGIA PARA MEJORAR LA DETECCIÓN DE IONES MERCÚRICOS""", Trabajos dirigidos/Tutorías de otro tipo , MARGARITA ELLY ALIAGA MIRANDA, Pontificia Universidad Católica De Chile,Ariel Patricio Trujillo Céspedes, Química, Tutor principal,,nero , , 0,,,
NATURATU,"EXTRACCIÓN, SEPARACIÓN Y PURIFICACIÓN DE METABOLITOS SECUNDARIOS MAYORITARIOS DE LA SEMILLA DE Erythrina rubrinervia Kunth", Trabajos de grado de pregrado , OLIMPO JOSE GARCIA BELTRAN, UNIVERSIDAD DE IBAGUÉ,Johana Alexandra Reyes - Simón David Urrea, Administración Ambiental, Tutor principal,, 2015, Aprobada, 22,,,
NATURATU,"""COMPLEJOS DE CU(II) CON DISULFIDOS DE INTERÉS BIOLÓGICO CON ACTIVIDAD COMBINADA TIPO SUPEROXIDO DISMUTASA Y CATALASA: PROTECCIÓN DE CÉLULAS INTACTAS FRENTE AL ESTRÉS OXIDATIVO""", Trabajos dirigidos/Tutorías de otro tipo , MARGARITA ELLY ALIAGA MIRANDA, Universidad Tecnológica Metropolitana,Danissa Jara, Química, Coturor/asesor,,nero , , 0,,,
NATURATU,"Aplicación de un método agroecológico para la evaluación de sostenibilidad de sistemas productivos de café en el municipio del Líbano, Tolima", Trabajos de grado de pregrado , BLANCA MYRIAM SALGUERO LONDONO, UNIVERSIDAD DE IBAGUÉ,Lina María Briñez y Daniela Cifuentes Serrano, Administración Ambiental, Tutor principal,, 2015, Aprobada, 83,,,
NATURATU,EVALUACION DE UN SISTEMA INTENSIVO DE CULTIVO ARROCERO ALTERNATIVO COMO ESTRATEGIA DE CONSERVACIÓN DEL SUELO PARA PEQUEÑOS PRODUCTORES EN LA FINCA LA QUINTA EN EL MUNICIPIO DE ALVARADO, Trabajos de grado de pregrado , BLANCA MYRIAM SALGUERO LONDONO, UNIVERSIDAD DE IBAGUÉ,Sebastian Vila Arboleda, Administración Ambiental, Tutor principal,, 2015, Aprobada, 52,,,
NATURATU,"Evaluación In vitro de la actividad antihelmíntica y toxicológica de extractos y fracciones de tres especies vegetales del Bosque Seco Tropical (Bs-T) tolimense, comúnmente utilizadas en la alimentación de ovinos", Tesis de doctorado ," ANGEL ENRIQUE CESPEDES RUBIO , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DEL TOLIMA,Néstor Jaime Romero, Ciencias Agrarias, Coturor/asesor,, 2019, Distincion meritoria, 186,,,
NATURATU,ESTUDIO CINÉTICO DE LA INTERACCIÓN ENTRE TIOLES ENDÓGENOS Y DERIVADO DE ACRILONITRILO. EVALUACIÓN COMO SONDA FLUORESCENTE SENSIBLE A TIOLES, Trabajos de grado de pregrado ," MARGARITA ALIAGA , OLIMPO JOSE GARCIA BELTRAN , PAULINA PAVEZ", Universidad Tecnológica Metropolitana,SANDRA LORENA FUENTEALBA REYES, Químico Laboratorista, Coturor/asesor,, 2014, Distincion meritoria, 45,,,
NATURATU,CREACIÓN DE UNA CURVA DE CALIBRACIÓN PARA DETERMINAR LA CONCENTRACIÓN DE MATERIA ORGÁNICA PRESENTE EN ELAGUA A PARTIR DEL FTALATO DE POTASIO, Trabajos de grado de pregrado , LUZ PATRICIA NARANJO RIANO, UNIVERSIDAD DE IBAGUÉ,JOHN HENRY CÉSPEDES LOZADA, Ingeniería Industrial, Tutor principal,, 2014, Aprobada, 39,,,
NATURATU,"IMAGEN CORPORAL, DEPENDENCIA AL EJERCICIO Y CONSUMO DE SUSTANCIAS ANABÓLICAS EN USUARIOS DE GIMNASIO¿", Trabajos de grado de pregrado , MARIA CARMENZA DIAZ MARTINEZ, UNIVERSIDAD DE IBAGUÉ,Eleonora Troncoso Fajardo , Psicología, Coturor/asesor,, 2014, Aprobada, 0,,,
NATURATU,Control Difuso basado en microcontrolador para la producción de biogás en digestión anaerobia tipo batch de la fraación orgánica de residuos sólidos, Trabajo de grado de maestría o especialidad clínica , HECTOR MAURICIO HERNANDEZ SARABIA, UNIVERSIDAD DE IBAGUÉ,Ruge Ilbert Adonayt, Mestria en Control Industrial Con Enfasis en Model, Tutor principal,, 2010, Aprobada, 50,,,
NATURATU,"Modelamiento matematico, simulación y control del proceso biologico de digestión anaerobia para la producción de biogas", Trabajo de grado de maestría o especialidad clínica , HECTOR MAURICIO HERNANDEZ SARABIA, UNIVERSIDAD DE IBAGUÉ,Maximiliano Machado Higuera, Mestria en Control Industrial Con Enfasis en Model, Tutor principal,, 2010, Aprobada, 37,,,
NATURATU,"Modelación, simulación y control de un reactor tubular de alta presión", Trabajo de grado de maestría o especialidad clínica , HECTOR MAURICIO HERNANDEZ SARABIA, UNIVERSIDAD DE IBAGUÉ,Helmer Muñoz Hernandez, Mestria en Control Industrial Con Enfasis en Model, Tutor principal,, 2010, Aprobada, 80,,,
NATURATU,Control no lineal de la concentración de oxígeno disuelto en el biorreactor de una planta de tratamiento de aguas residuales con lodos activados, Trabajo de grado de maestría o especialidad clínica , HECTOR MAURICIO HERNANDEZ SARABIA, UNIVERSIDAD DE IBAGUÉ,Leonel Alberto Gómez Pérez, Mestria en Control Industrial Con Enfasis en Model, Tutor principal,, 2009, Aprobada, 79,,,
NATURATU,"Actualización y diagnostico del estado de la red sanitaria del barrio la Gaviota, Ibagué", Trabajos de grado de pregrado , HERNANDO BETANCOURT LONDONO, UNIVERSIDAD DE IBAGUÉ,Gustavo Andres Grijalba, Ingeniería civil, Tutor principal,,, , ,,,
NATURATU,"Catastro y rediseño de los alcantarillados de los barrios Ricaurte parte alta y Cerros de Granate, Ibagué", Trabajos de grado de pregrado , HERNANDO BETANCOURT LONDONO, UNIVERSIDAD DE IBAGUÉ,Manuel Alberto Trilleras, Ingeniería civil, Tutor principal,,, , ,,,
NATURATU,"Catastro de la red de alcantarillado sanitario y pluvial del barrio La Unión, Ibagué", Trabajos de grado de pregrado , HERNANDO BETANCOURT LONDONO, UNIVERSIDAD DE IBAGUÉ,Joaquin Alberto Alvarez, Ingeniería civil, Tutor principal,,, , ,,,
NATURATU,Verificación del sistema de alcantarillado y diseño de la planta de tratamiento de aguas residuales de Chicoral-Tolima, Trabajos de grado de pregrado , HERNANDO BETANCOURT LONDONO, UNIVERSIDAD DE IBAGUÉ,Juan Pablo Rodriguez, Ingeniería civil, Tutor principal,,, , ,,,
NATURATU,"Revisión hidraulica del alcantarillado de los barrios Boqueron y Colinas 1, Ibagué", Trabajos de grado de pregrado , HERNANDO BETANCOURT LONDONO, UNIVERSIDAD DE IBAGUÉ,Carlos Andrés Guarnizo, Ingeniería civil, Tutor principal,,, , ,,,
NATURATU,"Catastro y chequeo hidraulico del sistema de alantarillado del barrio Dario Echandía, Ibagué", Trabajos de grado de pregrado , HERNANDO BETANCOURT LONDONO, UNIVERSIDAD DE IBAGUÉ,Diana Carolina Bonilla, Ingeniería civil, Tutor principal,,, , ,,,
NATURATU,Analisis comparativo de las propiedades organolepticas entre el extracto de café obtenido por ultrasonido de alta frecuencia y el del percolado utilizado en Industrias Aliadas S.A., Trabajos de grado de pregrado , HECTOR MAURICIO HERNANDEZ SARABIA, UNIVERSIDAD DE IBAGUÉ,Jose Rosenso Ruiz Martinez, Ingenieria Mecanica, Tutor principal,,2007, Aprobada, 85,,,
NATURATU,"Evaluación de las caracteristicas operacionales de la planta de purificación de agua numero 1 en la pola, Ibagué", Trabajos de grado de pregrado , HERNANDO BETANCOURT LONDONO, UNIVERSIDAD DE IBAGUÉ,Julian Alberto Toro, Ingeniería civil, Tutor principal,,, , ,,,
Grupo de Investigación en Química Bioorgánica y Sistemas Moleculares -QBOSMO-,Alcaloides de Amaryllidaceae de Zephyrathes carinata Herb. como inhibidores promisorios de la enzima beta secretasa, Trabajos dirigidos/Tutorías de otro tipo ," EDISON HUMBERTO OSORIO LOPEZ , NATALIE CHARLOTTE CORTES RENDON", Universidad de Guadalajara,Grecia Tello Gutierrez, Licenciatura en Ingeniería Bioquímica, Tutor principal,, 2020, Aprobada, 0,,,
Grupo de Investigación en Química Bioorgánica y Sistemas Moleculares -QBOSMO-,"Articulación de procesos de fermentación, análisis de taza y capacidad antioxidante en café", Trabajo de grado de maestría o especialidad clínica , NATALIE CHARLOTTE CORTES RENDON, UNIVERSIDAD SURCOLOMBIANA,Angelica Rocio Tovar Caleño, Maestría en Ciencia y Tecnología del Café, Coturor/asesor,,, , 0,,,
Grupo de Investigación en Química Bioorgánica y Sistemas Moleculares -QBOSMO-,Síntesis de un derivado de 7-dietilaminocumarina-benzotiazol. Evaluación espectroscópica de su inclusión en Cucurbit[7]urilo y su aplicación como sensor de derivados de SO2, Trabajos de grado de pregrado ," MARGARITA ALIAGA , OLIMPO JOSE GARCIA BELTRAN", Pontificia Universidad catolica de Chile,KEVIN ARTURO DROGUETT MUÑOZ, Química, Coturor/asesor,, 2020, Aprobada, 66,,,
D+TEC - Desarrollo Tecnológico,Calculo Rápido de Descriptores Geometricos para Nubes de Puntos 3D, Trabajos de grado de pregrado ," HAROLD FABIAN MURCIA MORENO , HAROLD FABIAN MURCIA MORENO", UNIVERSIDAD DE IBAGUÉ,JUAN SEBASTIAN SIERRA ARIZ, INGENIERIA ELECTRONICA, Tutor principal,, 2021, Aprobada, 59,,,
D+TEC - Desarrollo Tecnológico,Diseño y construcción de un equipo para medición de dureza de rayado en materiales metálicos, Trabajo de grado de maestría o especialidad clínica ," EDUARDO ALBERTO PEREZ RUIZ , EDUARDO ALBERTO PEREZ RUIZ", UNIVERSIDAD DE IBAGUÉ,"JUAN DAVID SALCEDO , JUAN SEBASTIAN BOCANEGR", INGENIERIA MECANICA, Tutor principal,, 2021, Aprobada, 0,,,
D+TEC - Desarrollo Tecnológico,Localización y Mapeo Simultáneo con LiDAR para Plataformas Robóticas, Trabajos de grado de pregrado ," HAROLD FABIAN MURCIA MORENO , HAROLD FABIAN MURCIA MORENO", UNIVERSIDAD DE IBAGUÉ,CRISTIAN FELIPE RUBIO AGUIA, INGENIERIA ELECTRONICA, Tutor principal,, 2021, Distincion meritoria, 78,,,
D+TEC - Desarrollo Tecnológico,Estudio de la clonación de imágenes basado en el procesamiento del gradiente, Trabajos de grado de pregrado ," MANUEL GUILLERMO FORERO VARGAS , MANUEL GUILLERMO FORERO VARGAS", UNIVERSIDAD DE IBAGUÉ,ANDRES FELIPE NAVARRO NAVARR, Ingeniería Electronica, Tutor principal,, 2021, Aprobada, 81,,,
D+TEC - Desarrollo Tecnológico,"Análisis computacional de la influencia de la microestructura superficial de un acero AISI 1020 cementado, en el comportamiento de los esfuerzos mediante simulación de ensayo de rayado.", Trabajos de grado de pregrado , EDUARDO ALBERTO PEREZ RUIZ, UNIVERSIDAD DE IBAGUÉ,JOSE ALEXIS BARRER, INGENIERIA MECANICA, Tutor principal,, 2021, Aprobada, 0,,,
D+TEC - Desarrollo Tecnológico,Calibración Extrínseca de un Escaner 3D basado en LiDAR 2D y Cámaras Digitales, Trabajos de grado de pregrado ," HAROLD FABIAN MURCIA MORENO , HAROLD FABIAN MURCIA MORENO", UNIVERSIDAD DE IBAGUÉ,JOSE DANIEL BARRERO BARRIO, INGENIERIA ELECTRONICA, Tutor principal,, 2021, Aprobada, 52,,,
D+TEC - Desarrollo Tecnológico,Desarrollo de un Sistema de Estimación de Posición basado en Tecnología LiDAR, Trabajos de grado de pregrado ," HAROLD FABIAN MURCIA MORENO , HAROLD FABIAN MURCIA MORENO", UNIVERSIDAD DE IBAGUÉ,MILLER GERARDO ARCOS BERME, INGENIERIA ELECTRONICA, Tutor principal,, 2021, Aprobada, 52,,,
D+TEC - Desarrollo Tecnológico,Método para la evaluación del test de Morris en el estudio de medicamentos basado en técnicas de procesamiento de imágenes, Trabajos de grado de pregrado , MANUEL GUILLERMO FORERO VARGAS, UNIVERSIDAD DE IBAGUÉ,Natalia Carolina Hernández Riaño - Cristian Mauricio Morera Díaz, Ingeniería Electronica, Tutor principal,, 2020, Distincion meritoria, 102,,,
D+TEC - Desarrollo Tecnológico,"Sistema de predicción de rendimiento en etapas tempranas de un cultivo de arroz con base en imágenes multiespectrales, RGB y técnicas de aprendizaje maquina", Trabajos de grado de pregrado ," JOSE ARMANDO FERNANDEZ GALLEGO , JOSE ARMANDO FERNANDEZ GALLEGO , OSCAR BARRERO MENDOZA", UNIVERSIDAD DE IBAGUÉ,, Ingenieria Electronica, Coturor/asesor,, 2021, Aprobada, 53,,,
D+TEC - Desarrollo Tecnológico,Conteo automático de colonias de células tumorales, Trabajos de grado de pregrado ," MANUEL GUILLERMO FORERO VARGAS , MANUEL GUILLERMO FORERO VARGAS", UNIVERSIDAD DE IBAGUÉ,LAURA ANDREA MEDINA SANCHE, Ingeniería Electronica, Tutor principal,, 2021, Distincion meritoria, 57,,,
D+TEC - Desarrollo Tecnológico,Clasificación automática de heliconias a partir de imágenes RGB, Trabajo de grado de maestría o especialidad clínica ," MANUEL GUILLERMO FORERO VARGAS , MANUEL GUILLERMO FORERO VARGAS", UNIVERSIDAD DE IBAGUÉ,CHRISTIAN SAUL GONZALEZ SANTO, Maestria en ingenieria de control, Tutor principal,, 2021, Aprobada, 69,,,
D+TEC - Desarrollo Tecnológico,Robot paralelo comandado por cables planar, Trabajos de grado de pregrado , JORGE ANDRES GARCIA VANEGAS, UNIVERSIDAD DE IBAGUÉ,Jorge Mauricio Urrea Florian, Ingeniería Mecánica, Tutor principal,, 2020, Aprobada, 64,,,
D+TEC - Desarrollo Tecnológico,Caracterización de propiedades físicas y mecánicas de briquetas de biomasa de aserrín de pino y cascarilla de arroz, Trabajo de grado de maestría o especialidad clínica ," NELSON ARZOLA DE LA PENA , OSCAR ARAQUE DE LOS RIOS", UNIVERSIDAD NACIONAL DE COLOMBIA,Andrés Felipe Niño Cano, Maestría en Ingeniería Mecánica, Coturor/asesor,, 2020, Distincion meritoria, 156,,,
D+TEC - Desarrollo Tecnológico,Desarrollo de un sistema SCADA para un sistema modular de producción FESTO, Trabajos de grado de pregrado , OSWALDO LOPEZ SANTOS, UNIVERSIDAD DE IBAGUÉ,Laura Andrea Rodríguez  Méndez, Ingeniería Electrónica, Tutor principal,, 2021, Aprobada, 63,,,
D+TEC - Desarrollo Tecnológico,Sistema de supervisión y control para las unidades de almacenamiento de energía en microredes híbridas, Trabajos de grado de pregrado , OSWALDO LOPEZ SANTOS, UNIVERSIDAD DE IBAGUÉ,Santiago Martínez Clinger, Ingeniería Electrónica, Tutor principal,, 2021, Aprobada, 86,,,
D+TEC - Desarrollo Tecnológico,Modelamiento del comportamiento estático y dinámico del convertidor elevador cuadrático con bajo almacenamiento de energía, Trabajos de grado de pregrado , OSWALDO LOPEZ SANTOS, UNIVERSIDAD DE IBAGUÉ,Nicolás Alejandro López Varón, Ingeniería Electrónica, Tutor principal,, 2021, Aprobada, 70,,,
D+TEC - Desarrollo Tecnológico,Estudio de la congruencia de fase para la segmentación de imágenes de diatomeas, Trabajo de grado de maestría o especialidad clínica , MANUEL GUILLERMO FORERO VARGAS, UNIVERSIDAD DE IBAGUÉ,Carlos Antonio Jacanamejoy Jamioy, Maestria en ingenieria de control, Tutor principal,, 2020, Aprobada, 0,,,
D+TEC - Desarrollo Tecnológico,Evaluación de filtros no lineales basados en los métodos ROF y anisótropo para la eliminación de ruido en imágenes de microcopia confocal, Trabajos de grado de pregrado , MANUEL GUILLERMO FORERO VARGAS, UNIVERSIDAD DE IBAGUÉ,Reynel Duvan Peña Ambrocio, Ingeniería Electronica, Tutor principal,,, Distincion meritoria, 0,,,
D+TEC - Desarrollo Tecnológico,Desarrollo e implementación de un sistema de clasificación para la detección de zonas problemáticas con estrés nutricional en cultivos de arroz., Trabajos de grado de pregrado , OSCAR BARRERO MENDOZA, UNIVERSIDAD DE IBAGUÉ,Brahian Steven Espinosa Ruiz, Ingeniería Electrónica, Tutor principal,, 2020, Aprobada, 61,,,
D+TEC - Desarrollo Tecnológico,"Análisis de sistemas de irrigación de un cultivo de arroz con cámaras multiespectrales, RGB y termográficas implementadas en un dron para determinar una alerta temprana", Trabajos de grado de pregrado , OSCAR BARRERO MENDOZA, UNIVERSIDAD DE IBAGUÉ,Juan David Rengifo Sánchez, Ingeniería Electrónica, Tutor principal,, 2020, Aprobada, 78,,,
D+TEC - Desarrollo Tecnológico,Detección y localización de malezas en cultivos de arroz basados en el análisis de imágenes de reflectancia y RGB tomadas desde drones, Trabajos de grado de pregrado , OSCAR BARRERO MENDOZA, UNIVERSIDAD DE IBAGUÉ,Alejandro Carvajal Montealegre, Ingeniería Electrónica, Tutor principal,, 2020, Aprobada, 82,,,
D+TEC - Desarrollo Tecnológico,"Análisis, modelado y control del inversor de Barbi mediante conmutación bipolar basada en modulación por ancho de pulso", Trabajos de grado de pregrado , OSWALDO LOPEZ SANTOS, Universidad De Malaga,Francisco Filter Rull," Grado en Ingeniería Electrónica, Robótica y Mecatrónica", Coturor/asesor,, 2020, Distincion laureada, 105,,,
D+TEC - Desarrollo Tecnológico,Evaluación de técnicas de suavización para el seguimiento de células progenitoras en imágenes de microscopía confocal, Trabajos de grado de pregrado , MANUEL GUILLERMO FORERO VARGAS, UNIVERSIDAD DE IBAGUÉ,Kelly Daniela Morales Cruz, Ingeniería Electronica, Tutor principal,, 2020, Aprobada, 0,,,
D+TEC - Desarrollo Tecnológico,Evaluación de técnicas de detección de bordes para el seguimiento de células progenitoras e imágenes de microscopía confocal, Trabajos de grado de pregrado , MANUEL GUILLERMO FORERO VARGAS, UNIVERSIDAD DE IBAGUÉ,Luis Hernando Rodríguez Montenegro, Ingeniería Electronica, Tutor principal,, 2020, Aprobada, 0,,,
D+TEC - Desarrollo Tecnológico,Mejora matemática del algoritmo de esqueletonización 3D de Lee et al, Trabajos de grado de pregrado , MANUEL GUILLERMO FORERO VARGAS, UNIVERSIDAD DE IBAGUÉ,Ricardo Héctor Zuleta Isaza, Ingeniería Electronica, Tutor principal,, 2020, Distincion meritoria, 0,,,
D+TEC - Desarrollo Tecnológico,Control predictivo para el seguimiento de trayectorias en vehículos autónomos terrestres, Trabajos de grado de pregrado , OSCAR BARRERO MENDOZA, UNIVERSIDAD DE IBAGUÉ,JUAN CARLOS TIQUE RANGE, Ingeniería Electrónica, Tutor principal,, 2021, Aprobada, 45,,,
D+TEC - Desarrollo Tecnológico,"Optimización de peso y forma de una pieza fabricada mediante modelado por deposición fundida en materiales de filamento ABS, PLA, PETG y NYLON producidos por la empresa BIMEK LTDA", Trabajos de grado de pregrado , OSCAR ARAQUE DE LOS RIOS, UNIVERSIDAD DE IBAGUÉ,Kevin Leonardo López Saavedra, Ingeniería Mecánica, Tutor principal,, 2020, , 56,,,
D+TEC - Desarrollo Tecnológico,"Sistema de predicción de rendimiento en etapas tempranas de un cultivo de arroz con base en imágenes multiespectrales, RGB y técnicas de aprendizaje maquina", Trabajos de grado de pregrado , OSCAR BARRERO MENDOZA, UNIVERSIDAD DE IBAGUÉ,, Ingeniería Electrónica, Tutor principal,, 2021, Aprobada, 50,,,
D+TEC - Desarrollo Tecnológico,"Estudio del efecto de la temperatura del medio de enfriamiento (aceite vegetal de cocina usado) en el comportamiento de la dureza y microestructura, en el temple del acero AISI 1045.", Trabajos de grado de pregrado , EDUARDO ALBERTO PEREZ RUIZ, UNIVERSIDAD DE IBAGUÉ,Sergio Andrés Botero Arenas, Ingeniería Mecánica, Tutor principal,, 2020, Aprobada, 0,,,
D+TEC - Desarrollo Tecnológico,"Estudio del efecto del estado térmico preliminar del acero AISI 1020, sobre la dureza y espesor de capa cementada utilizando biomasa de café como cementante.", Trabajos de grado de pregrado , EDUARDO ALBERTO PEREZ RUIZ, UNIVERSIDAD DE IBAGUÉ,Francisco Eduardo Molina Lozano, Ingeniería Mecánica, Tutor principal,, 2020, Aprobada, 0,,,
D+TEC - Desarrollo Tecnológico,Sistema de medición de fuerzas-g en estructuras perturbadas por mesas vibratorias, Trabajos de grado de pregrado , JORGE ANDRES GARCIA VANEGAS, UNIVERSIDAD DE IBAGUÉ,Daniel José Castañeda Zarate, Ingeniería Electrónica, Tutor principal,, 2020, Aprobada, 108,,,
D+TEC - Desarrollo Tecnológico,"Diseño de un sistema de compactación de cascarilla de arroz, en la producción de pacas de la empresa PROCAN-Espinal", Trabajos de grado de pregrado , OSCAR ARAQUE DE LOS RIOS, UNIVERSIDAD DE IBAGUÉ,Miguel Ángel Torres Torres, Ingeniería Mecánica, Tutor principal,, 2020, , 67,,,
D+TEC - Desarrollo Tecnológico,Estudio de técnica de suavizacion de imágenes basadas en modelos dispersos, Trabajos de grado de pregrado , MANUEL GUILLERMO FORERO VARGAS, UNIVERSIDAD DE IBAGUÉ,Jaime Enrique Sanchez Tarquino, Ingeniería Electronica, Tutor principal,,, Distincion meritoria, 0,,,
D+TEC - Desarrollo Tecnológico,Formulación de propuesta técnico económica para la construcción de un equipo multifunción para la linea de producción de hojaldres de la empresa The Bakery, Trabajos de grado de pregrado , OSCAR ARAQUE DE LOS RIOS, UNIVERSIDAD DE IBAGUÉ,Cristian Camilo Godoy Triana , Ingeniería Mecánica, Tutor principal,, 2019, Aprobada, 233,,,
D+TEC - Desarrollo Tecnológico,Evaluación térmica de la mezcla de biomasa por medio de simulación computacional, Trabajos de grado de pregrado , OSCAR ARAQUE DE LOS RIOS, UNIVERSIDAD DE IBAGUÉ,Joan Felipe Amante Puentes, Ingeniería Mecánica, Tutor principal,, 2020, , 77,,,
D+TEC - Desarrollo Tecnológico,Evaluación mecánica por simulación computacional de la mezcla de aserrín y cascarilla de arroz, Trabajos de grado de pregrado , OSCAR ARAQUE DE LOS RIOS, UNIVERSIDAD DE IBAGUÉ,Jorge Cardozo Mora, Ingeniería Mecánica, Tutor principal,, 2020, Aprobada, 85,,,
D+TEC - Desarrollo Tecnológico,Análisis mediante simulación computacional del comportamiento mecánico de la microestructura bainita obtenido en el temple del acero AISI 1045, Trabajos de grado de pregrado , EDUARDO ALBERTO PEREZ RUIZ, UNIVERSIDAD DE IBAGUÉ,Diego Fernando Pérez Piñeres, Ingeniería Mecánica, Tutor principal,, 2019, Aprobada, 0,,,
D+TEC - Desarrollo Tecnológico,Diseño de máquina cortadora de bolsas para re-embalaje de devoluciones de arroz, Trabajos de grado de pregrado , OSCAR ARAQUE DE LOS RIOS, UNIVERSIDAD DE IBAGUÉ,Sergio Patiño Olaya, Ingeniería Mecánica, Tutor principal,, 2019, , 159,,,
D+TEC - Desarrollo Tecnológico,RECONSTRUCCIÓN CINEMÁTICA 3D CON UN SENSOR LiDAR 2D A BORDO DE UN VEHÍCULO TERRESTRE NO TRIPULADO., Trabajo de grado de maestría o especialidad clínica , HAROLD FABIAN MURCIA MORENO, UNIVERSIDAD DE IBAGUÉ,JULIAN RENE CHAUX CEDEN, Ingeniería de Control Industrial, Tutor principal,, 2020, Aprobada, 106,,,
D+TEC - Desarrollo Tecnológico,Desarrollo de técnicas de inpainting y demosaicing basados en el modelamiento disperso, Trabajos de grado de pregrado , MANUEL GUILLERMO FORERO VARGAS, UNIVERSIDAD DE IBAGUÉ,María José Pinilla Bustamante, Ingeniería Electronica, Tutor principal,, 2019, Aprobada, 0,,,
D+TEC - Desarrollo Tecnológico,Detección de fibrosis aledaña a quistes cerebrales producidos por neurocisticercosis mediante procesamiento de imágenes, Trabajos de grado de pregrado , MANUEL GUILLERMO FORERO VARGAS, UNIVERSIDAD DE IBAGUÉ,Juan José Betancourt Lozano, Ingeniería Electronica, Tutor principal,,, Distincion meritoria, 0,,,
D+TEC - Desarrollo Tecnológico,Prototipo de Robot Paralelo Accionado por Cables con 4 GDL para la automatización de cultivos de hortalizas en la universidad de Ibagué, Trabajos de grado de pregrado , JORGE ANDRES GARCIA VANEGAS, UNIVERSIDAD DE IBAGUÉ,Andrés Mauricio Arias Vásquez, Ingeniería Mecánica, Tutor principal,, 2019, Aprobada, 93,,,
D+TEC - Desarrollo Tecnológico,Plataforma móvil robotizada para cultivos de hortalizas a pequeña escala, Trabajos de grado de pregrado , JORGE ANDRES GARCIA VANEGAS, UNIVERSIDAD DE IBAGUÉ,Juan David Guayara Salcedo, Ingeniería Electrónica, Tutor principal,, 2019, Aprobada, 60,,,
D+TEC - Desarrollo Tecnológico,Prototipo de máquina contadora de porta-pizzas, Trabajos de grado de pregrado , JORGE ANDRES GARCIA VANEGAS, UNIVERSIDAD DE IBAGUÉ,Yeferson Andrés Campos Rincón, Ingeniería Electrónica, Tutor principal,, 2020, Aprobada, 66,,,
D+TEC - Desarrollo Tecnológico,Diseño de un Robot Paralelo Comandado por Cables espacial, Trabajos de grado de pregrado , JORGE ANDRES GARCIA VANEGAS, UNIVERSIDAD DE IBAGUÉ,Jhon Anderson Cardozo Varón, Ingeniería Mecánica, Tutor principal,, 2019, Aprobada, 115,,,
D+TEC - Desarrollo Tecnológico,Control de un robot paralelo comandado por cables mediante visión y mediciones inerciales, Trabajos de grado de pregrado , JORGE ANDRES GARCIA VANEGAS, UNIVERSIDAD DE IBAGUÉ,Brhayan Liberato Tafur, Ingeniería Electrónica, Tutor principal,, 2020, Distincion laureada, 95,,,
D+TEC - Desarrollo Tecnológico,Control cinemático de un Robot Paralelo Comandado por Cables espacial, Trabajos de grado de pregrado , JORGE ANDRES GARCIA VANEGAS, UNIVERSIDAD DE IBAGUÉ,Julian Ernesto Taborda Almanza, Ingeniería Mecánica, Tutor principal,, 2019, Aprobada, 89,,,
